phase,number of devices,number of links,simulation startup duration config real (Seconds),simulation startup duration routing real (Seconds),simulation startup duration real (Seconds),simulation shutdown duration real (Seconds),simulation duration real (Seconds),simulation total duration real (Seconds),simulation startup duration routing virtual (Seconds),simulation duration virtual (Seconds),number of forwarded packages,number of sent packages,network traffic forwarded(Bytes),network traffic total (Bytes),package size aggregated (Bytes),number of devices having 'RoutingFeature',number of devices having 'DatabaseStore',number of devices having 'DatabaseQuery',number of devices having 'Database',number of devices having 'Sensor',package count for 'Database-Ontology-Import',package size for 'Database-Ontology-Import',package size aggregated for 'Database-Ontology-Import',package size self Messages for 'Database-Ontology-Import',package count for 'Database-Graph-Create',package size for 'Database-Graph-Create',package size aggregated for 'Database-Graph-Create',package size self Messages for 'Database-Graph-Create',package count for 'Database-Ontology-Load',package size for 'Database-Ontology-Load',package size aggregated for 'Database-Ontology-Load',package size self Messages for 'Database-Ontology-Load',package count for 'ParkingSample',package size for 'ParkingSample',package size aggregated for 'ParkingSample',package size self Messages for 'ParkingSample',package count for 'SPARQL-Query',package size for 'SPARQL-Query',package size aggregated for 'SPARQL-Query',package size self Messages for 'SPARQL-Query',package count for 'SPARQL-Response',package size for 'SPARQL-Response',package size aggregated for 'SPARQL-Response',package size self Messages for 'SPARQL-Response',package count for 'Database-Graph-Modify',package size for 'Database-Graph-Modify',package size aggregated for 'Database-Graph-Modify',package size self Messages for 'Database-Graph-Modify',package count for 'Database-Dictionary',package size for 'Database-Dictionary',package size aggregated for 'Database-Dictionary',package size self Messages for 'Database-Dictionary',package count for 'Database-Operatorgraph',package size for 'Database-Operatorgraph',package size aggregated for 'Database-Operatorgraph',package size self Messages for 'Database-Operatorgraph',package count for 'Database-Intermadiate-Result',package size for 'Database-Intermadiate-Result',package size aggregated for 'Database-Intermadiate-Result',package size self Messages for 'Database-Intermadiate-Result',data scale,additionalHops,partitioning,distribution algorithm,dynamic operator relocation
Q7,198,2802,1.7689e-05,5.938e-06,9.934e-06,2.6451000000003827e-05,0.044971275,0.045031287,0,0.016017928,9,32,101865,178259,218182,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,885,885,885,1,232,232,232,0,0,0,0,2,92,92,92,13,2361,2361,0,17,112827,214612,38994,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q8,198,2802,1.0496e-05,2.833e-06,2.1000000000000002e-06,1.2535999999437074e-05,6.862868488,6.862896452999999,0,0.015888648,10,30,93595,156429,193254,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,787,787,787,1,273,273,273,0,0,0,0,2,92,92,92,12,2337,2337,0,16,96266,189765,35945,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q9,198,2802,1.1454e-05,2.758e-06,2.056e-06,1.3347000000072038e-05,1.754917343,1.7549469580000001,0,0.019768328,5,25,68031,169418,238526,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1081,1081,1081,1,393,393,393,0,0,0,0,2,92,92,92,12,2902,2902,0,16,166091,234058,67790,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q10,198,2802,1.0223e-05,2.697e-06,2.043e-06,2.9885999999982058e-05,0.11458759000000002,0.114632439,0,0.035432328,6,29,118903,278527,443440,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1383,1383,1383,1,427,427,427,0,0,0,0,2,92,92,92,14,4217,4217,0,26,318514,437321,163339,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
Q11,198,2802,3.3887e-05,5.93e-06,3.8280000000000004e-06,55.36933102600001,11.681007433,67.05038210400001,0,0.020172808,6,31,58494,193108,276981,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,393,393,393,0,0,0,0,2,92,92,92,11,2922,2922,0,30,215152,273574,83716,5,hops,key,topology,relocateOperatorsIfTooMuchDataIsSentDisabled
initialization,198,2802,0.108340304,0.116022366,0.40005250100000006,3.955000000707698e-06,16.478667906,17.103087031999998,0,1104.943395862,1622,17169,423058,9847293,10771977,198,16,48,48,150,1,2309,2309,2309,47,39104,83200,0,47,101191,215300,0,750,27000,32940,0,1051,865326,865326,865326,1050,261750,315040,228535,21378,8462631,8462631,0,2100,95910,208402,550,556,103749,103749,0,451,413189,483080,53140,5,hops,key,assisted,relocateOperatorsIfTooMuchDataIsSentEnabled
Q1,198,2802,1.749e-05,4.158e-06,3.3900000000000006e-06,5.175999999408875e-06,15.191042464,15.191072678,0,0.048915848,3,39,47655,484162,3154324,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,373,373,373,1,2657540,2657540,2657540,0,0,0,0,2,92,92,92,17,2244,2244,0,20,446444,494075,12469,5,hops,key,assisted,relocateOperatorsIfTooMuchDataIsSentEnabled
Q2,198,2802,1.4049e-05,5.438e-06,4.735e-06,3.0870000002369696e-06,2.876492381,2.87651969,0,0.001764484,0,8,0,6708,10815,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,449,449,449,1,2222,2222,0,0,0,0,0,2,92,92,0,5,544,544,0,5,7508,7508,3738,5,hops,key,assisted,relocateOperatorsIfTooMuchDataIsSentEnabled
Q3,198,2802,8.684e-06,3.188e-06,3.822e-06,5.663999999712749e-06,5.385415526,5.385436884,0,0.002605446,4,15,6464,11496,12526,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,525,525,525,1,274,274,274,0,0,0,0,2,92,92,92,8,1011,1011,0,4,4192,10624,259,5,hops,key,assisted,relocateOperatorsIfTooMuchDataIsSentEnabled
Q4,198,2802,1.5119e-05,6.067e-06,5.2500000000000006e-06,3.024999998279675e-06,9.111324982000001,9.111354443,0,0.011969288,3,18,24381,45629,46621,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,571,571,571,1,273,273,273,0,0,0,0,2,92,92,92,9,1228,1228,0,8,20100,44457,200,5,hops,key,assisted,relocateOperatorsIfTooMuchDataIsSentEnabled
Q5,198,2802,1.6619e-05,5.368e-06,4.091999999999999e-06,2.8010000001799343e-06,2.879547619,2.879576499,0,0.011969288,3,18,36480,70167,113886,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,875,875,875,1,161,161,161,0,0,0,0,2,92,92,92,9,1568,1568,0,201,74742,111190,42751,5,hops,key,assisted,relocateOperatorsIfTooMuchDataIsSentEnabled
Q6,198,2802,8.018e-06,2.975e-06,2.547e-06,8.156000000183489e-06,2.008110935,2.008132631,0,0.017844488,9,29,91217,182668,280495,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,960,960,960,1,206,206,206,0,0,0,0,2,92,92,92,12,2664,2664,0,207,185444,276573,96833,5,hops,key,assisted,relocateOperatorsIfTooMuchDataIsSentEnabled
Q7,198,2802,1.1928e-05,4.324e-06,4.225000000000001e-06,2.2210000000487954e-06,0.689775937,0.689798635,0,0.018028168,9,32,92267,188513,372644,198,16,48,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,885,885,885,1,232,232,232,0,0,0,0,2,92,92,92,14,2657,2657,0,529,276591,368778,183218,5,hops,key,assisted,relocateOperatorsIfTooMuchDataIsSentEnabled
